observation_date,CORESTICKM159SFRBATL
1/1/1978,7.371987718
2/1/1978,7.341035476
3/1/1978,7.433603181
4/1/1978,7.413807475
5/1/1978,7.643491412
6/1/1978,7.679164103
7/1/1978,7.912838518
8/1/1978,8.176594615
9/1/1978,8.576148162
10/1/1978,9.03646557
11/1/1978,9.211524761
12/1/1978,9.058012586
1/1/1979,9.070516336
2/1/1979,9.571356337
3/1/1979,9.675145162
4/1/1979,9.918953512
5/1/1979,10.08237656
6/1/1979,10.26917325
7/1/1979,10.50434739
8/1/1979,10.93575743
9/1/1979,10.98372295
10/1/1979,11.25728419
11/1/1979,11.92658832
12/1/1979,12.73418668
1/1/1980,13.46973575
2/1/1980,13.59949268
3/1/1980,14.33166742
4/1/1980,14.755205
5/1/1980,15.11527284
6/1/1980,15.77416672
7/1/1980,14.13341024
8/1/1980,13.26835954
9/1/1980,13.08775265
10/1/1980,13.08418875
11/1/1980,12.87060181
12/1/1980,12.685252
1/1/1981,12.01810057
2/1/1981,11.22927119
3/1/1981,10.31934147
4/1/1981,9.710596634
5/1/1981,9.603160634
6/1/1981,9.212167638
7/1/1981,11.23823035
8/1/1981,11.81874206
9/1/1981,12.22896371
10/1/1981,11.26625191
11/1/1981,10.52403531
12/1/1981,9.855791699
1/1/1982,9.469843405
2/1/1982,9.539828014
3/1/1982,8.890430545
4/1/1982,9.081124943
5/1/1982,9.052945034
6/1/1982,8.878235542
7/1/1982,7.889386151
8/1/1982,7.329095724
9/1/1982,5.979568161
10/1/1982,5.978948458
11/1/1982,5.304532965
12/1/1982,4.248605204
1/1/1983,4.424606951
2/1/1983,4.356216055
3/1/1983,4.586331541
4/1/1983,4.187719488
5/1/1983,3.285270905
6/1/1983,2.582464401
7/1/1983,2.370321394
8/1/1983,2.293245829
9/1/1983,2.688915363
10/1/1983,2.837489986
11/1/1983,3.496604743
12/1/1983,4.455576949
1/1/1984,4.47100051
2/1/1984,4.509240951
3/1/1984,4.638826514
4/1/1984,4.632179596
5/1/1984,4.693964637
6/1/1984,4.773046608
7/1/1984,4.88156286
8/1/1984,5.017877611
9/1/1984,5.122410713
10/1/1984,5.086232886
11/1/1984,4.951399759
12/1/1984,5.03485707
1/1/1985,4.71440976
2/1/1985,4.860092398
3/1/1985,4.95037523
4/1/1985,4.742850309
5/1/1985,5.02421107
6/1/1985,5.042571195
7/1/1985,4.934458147
8/1/1985,4.931448285
9/1/1985,4.772256068
10/1/1985,4.87735108
11/1/1985,5.134382326
12/1/1985,5.015425836
1/1/1986,5.280952944
2/1/1986,5.109255446
3/1/1986,5.212476107
4/1/1986,5.352667382
5/1/1986,5.024657147
6/1/1986,5.026885723
7/1/1986,4.960427947
8/1/1986,4.823456322
9/1/1986,4.947499067
10/1/1986,4.881662479
11/1/1986,4.575152807
12/1/1986,4.654910621
1/1/1987,4.492110038
2/1/1987,4.45173175
3/1/1987,4.276017854
4/1/1987,4.371203735
5/1/1987,4.429512321
6/1/1987,4.187984457
7/1/1987,4.178766144
8/1/1987,4.293051178
9/1/1987,4.305931321
10/1/1987,4.356981982
11/1/1987,4.329616016
12/1/1987,4.291749243
1/1/1988,4.373233966
2/1/1988,4.375628463
3/1/1988,4.440936865
4/1/1988,4.37597416
5/1/1988,4.432652625
6/1/1988,4.673118224
7/1/1988,4.70086963
8/1/1988,4.674256215
9/1/1988,4.721200474
10/1/1988,4.607887381
11/1/1988,4.742903047
12/1/1988,4.790034691
1/1/1989,4.748201473
2/1/1989,4.783533199
3/1/1989,4.750414948
4/1/1989,4.618488017
5/1/1989,4.742747969
6/1/1989,4.74510822
7/1/1989,4.893807623
8/1/1989,4.854148787
9/1/1989,4.669891213
10/1/1989,4.802933382
11/1/1989,4.797568826
12/1/1989,4.829006386
1/1/1990,4.905908309
2/1/1990,4.91755923
3/1/1990,5.19152475
4/1/1990,5.276985365
5/1/1990,5.166732439
6/1/1990,5.370697673
7/1/1990,5.516605952
8/1/1990,5.836270781
9/1/1990,5.930360317
10/1/1990,5.798506168
11/1/1990,5.683108196
12/1/1990,5.651092078
1/1/1991,5.815290409
2/1/1991,5.8623588
3/1/1991,5.474284579
4/1/1991,5.276160434
5/1/1991,5.222445891
6/1/1991,4.934653949
7/1/1991,4.713410392
8/1/1991,4.393094508
9/1/1991,4.443594793
10/1/1991,4.288991989
11/1/1991,4.34967757
12/1/1991,4.346967664
1/1/1992,4.052308746
2/1/1992,3.861765064
3/1/1992,3.975844252
4/1/1992,4.066438773
5/1/1992,3.926410529
6/1/1992,3.860188559
7/1/1992,3.769367667
8/1/1992,3.628120085
9/1/1992,3.349237754
10/1/1992,3.6359146
11/1/1992,3.629469745
12/1/1992,3.478262556
1/1/1993,3.528455109
2/1/1993,3.561853788
3/1/1993,3.334428143
4/1/1993,3.404237829
5/1/1993,3.532736691
6/1/1993,3.569326945
7/1/1993,3.422616714
8/1/1993,3.508810757
9/1/1993,3.642383692
10/1/1993,3.424737275
11/1/1993,3.436277096
12/1/1993,3.548475916
1/1/1994,3.375759896
2/1/1994,3.415920384
3/1/1994,3.570150943
4/1/1994,3.354397547
5/1/1994,3.225532887
6/1/1994,3.194738495
7/1/1994,3.233880147
8/1/1994,3.306714086
9/1/1994,3.254281644
10/1/1994,3.164264289
11/1/1994,3.128282179
12/1/1994,2.901446577
1/1/1995,3.144200833
2/1/1995,3.124100115
3/1/1995,3.167481169
4/1/1995,3.306684647
5/1/1995,3.355294523
6/1/1995,3.332283478
7/1/1995,3.386948974
8/1/1995,3.23814109
9/1/1995,3.351697522
10/1/1995,3.46411606
11/1/1995,3.37996065
12/1/1995,3.379829487
1/1/1996,3.277075064
2/1/1996,3.259936249
3/1/1996,3.134500987
4/1/1996,3.004778103
5/1/1996,3.047772222
6/1/1996,3.051784638
