IPCONGD,CUMFNS,UEMPMEAN,UEMP27OV,CLAIMSx,USGOOD,CES1021000001,MANEMP,DMANEMP,NDMANEMP,USTRADE,M1SL,M2SL,M2REAL,TOTRESNS,CONSPI,S&P 500,S&P div yield,CP3Mx,TB3MS,TB6MS,GS1,COMPAPFFx,TB3SMFFM,TB6SMFFM,T5YFFM,T10YFFM,AAAFFM,BAAFFM,CES2000000008,FEDFUNDS,date,fedfunds_lag1,fedfunds_lag2,fedfunds_lag3,fedfunds_lag9,fedfunds_lag10
65.882,82.0672,12.9,813,351000,23374,668.3,18593,11481,7112,9644.5,334.4,1279.7,2041.0,38.1,0.128311301,90.25,5.222526316,6.75,6.44,6.7,7.28,0.05,-0.26,0.0,1.07,1.26,1.71,2.47,7.77,6.7,1978-01-01,6.56,6.51,6.47,4.73,4.69
66.9695,82.1542,12.5,667,383250,23453,672.2,18639,11518,7121,9673.8,335.3,1285.5,2040.5,36.8,0.128838988,88.98,5.345774331,6.76,6.45,6.74,7.34,-0.02,-0.33,-0.04,1.05,1.25,1.69,2.42,7.82,6.78,1978-02-01,6.7,6.56,6.51,5.35,4.73
68.3259,83.3773,12.4,714,349000,23649,686.3,18699,11556,7143,9716.6,337.0,1292.2,2038.2,36.1,0.129475299,88.82,5.404188246,6.75,6.29,6.63,7.31,-0.04,-0.5,-0.16,1.07,1.25,1.68,2.43,7.9,6.79,1978-03-01,6.78,6.7,6.56,5.39,5.35
68.7741,84.4017,12.3,680,326000,24008,841.1,18772,11624,7148,9769.8,339.9,1300.4,2035.1,37.0,0.129421999,92.71,5.216988459,6.82,6.29,6.73,7.45,-0.07,-0.6,-0.16,1.09,1.26,1.67,2.43,7.94,6.89,1978-04-01,6.79,6.78,6.7,5.42,5.39
68.3908,84.559,12.1,692,327000,24082,846.8,18848,11691,7157,9830.1,344.9,1310.5,2031.8,37.1,0.130596304,97.41,5.002905246,7.06,6.41,7.02,7.82,-0.3,-0.95,-0.34,0.82,0.99,1.33,2.13,8.03,7.36,1978-05-01,6.89,6.79,6.78,5.9,5.42
68.7646,84.916,12.1,640,324250,24238,854.9,18919,11739,7180,9889.6,346.9,1318.5,2028.5,37.3,0.13177809,97.66,5.027646938,7.59,6.73,7.23,8.09,-0.01,-0.87,-0.37,0.76,0.86,1.16,2.0,8.08,7.6,1978-06-01,7.36,6.89,6.79,6.14,5.9
68.3895,84.5872,12.0,658,350200,24300,861.5,18951,11789,7162,9930.5,347.6,1324.1,2021.5,38.2,0.131793231,97.19,5.089690297,7.85,7.01,7.44,8.39,0.04,-0.8,-0.37,0.73,0.83,1.07,1.79,8.12,7.81,1978-07-01,7.6,7.36,6.89,6.47,6.14
68.2843,84.7497,11.4,612,348750,24374,863.8,19006,11839,7167,9954.8,349.6,1333.5,2023.5,37.6,0.132156715,103.9,4.796275265,7.83,7.08,7.37,8.31,-0.21,-0.96,-0.67,0.29,0.37,0.65,1.44,8.18,8.04,1978-08-01,7.81,7.6,7.36,6.51,6.47
68.4077,84.8665,11.4,624,322600,24444,868.2,19068,11901,7167,9983.0,352.2,1345.0,2022.6,37.8,0.132460839,103.9,4.831568816,8.39,7.85,7.99,8.64,-0.06,-0.6,-0.46,-0.02,-0.03,0.24,0.97,8.24,8.45,1978-09-01,8.04,7.81,7.6,6.56,6.51
68.288,85.1995,11.7,596,328250,24548,875.1,19142,11966,7176,10024.1,353.3,1352.3,2015.4,38.4,0.13181708,100.6,5.006630219,8.98,7.99,8.55,9.14,0.02,-0.97,-0.41,-0.35,-0.32,-0.07,0.63,8.26,8.96,1978-10-01,8.45,8.04,7.81,6.7,6.56
68.5165,85.7249,11.1,533,330500,24678,883.5,19257,12051,7206,10069.7,355.4,1359.1,2013.5,39.6,0.132556337,94.71,5.335582304,10.14,8.64,9.24,10.01,0.38,-1.12,-0.52,-0.92,-0.95,-0.73,0.07,8.31,9.76,1978-11-01,8.96,8.45,8.04,6.78,6.7
